Model,C,class_weight,solver,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,max_depth,min_samples_split,min_samples_leaf,n_estimators
Logistic Regression,1.0,,lbfgs,0.8059992900248492,0.6615755627009646,0.5505016722408027,0.6009492515516612,0.8125,0.6687116564417178,0.5828877005347594,0.6228571428571429,,,,
Decision Tree,,,,0.80386936457224,0.6521060842433697,0.5591973244147157,0.602088584803745,0.8082386363636364,0.6460674157303371,0.6149732620320856,0.6301369863013698,5.0,2.0,1.0,
Random Forest,,balanced,,0.8649272275470359,0.6836836836836837,0.9137123745819398,0.7821356999713713,0.7698863636363636,0.549407114624506,0.7433155080213903,0.6318181818181818,10.0,,1.0,500.0
